name,streetaddress,city,zipcode,county
"Mid-Missouri Area Health Education Center","1110 West 10th Street",Rolla,65401,"Phelps "
"Mid-Missouri Dental Center","409 Vandiver Drive Suite 3-102",Columbia,65202,"Boone "
"Mid-Missouri Legal Services","1201 West Broadway",Columbia,65203,"Boone "
"Midway R-I School District","5801 East State Route 2",Cleveland,64734,"Cass "
"Midwest Health Care Inc","326 South Mount Auburn","Cape Girardeau",63703,"Cape Girardeau "
"Midwest Health Initiative","8888 Ladue Road Suite 250","St. Louis",63124,"St. Louis "
"Midwest Home Health Care Services","1 West Armour Boulevard","Kansas City",64111,"Jackson "
"Midwest Institute for Addiction","1512 Northeast 96th Street Suite A",Liberty,64030,"Clay "
"Midwest Nephrology Associates","70 Jungermann Circle","St. Peters",63376,"St. Charles "
"Midwest Nephrology Consultants PA","2340 East Meyer Boulevard Building 2 Suite 480","Kansas City",64132,"Jackson "
"Midwest Vasectomy Reversals","6744 Clayton Road Suite 304","St. Louis",63117,"St. Louis "
"Milan C-2 School District","373 South Market Street",Milan,63556,"Sullivan "
"Miles for Smiles Bolivar Dental Office","203 East Broadway",Bolivar,65613,"Polk "
"Miles of Smiles","5416 Northeast Antioch Road","Kansas City",64119,"Clay "
"Miller County R-III School District","526 School Road",Tuscumbia,65082,"Miller "
"Miller R-II School District","110 West 6th Street",Miller,65707,"Lawrence "
"Mineral Area Community Psychiatric Rehabilitation Center","560 West Pine Street",Farmington,63640,"St. Francois "
"Minority Donor Awarenss Society","5509 Park Avenue","Kansas City",64130,"Jackson "
"Mississippi County Health Department","1200 East Marshall Street",Charleston,63834,"Mississippi "
"Missouri Academy of Family Physicians","722 West High Street","Jefferson City",65101,"Cole "
"Missouri Academy of Pediatric Dentistry","3555 Sunset Office Drive Suite 210","St. Louis",63127,"St. Louis "
"Missouri Army National Guard","2302 Militia Drive ","Jefferson City",65101,"Cole "
"Missouri Association of Elementary School Principals","3550 Amazonas","Jefferson City",65109,"Cole "
"Missouri Association of School Nurses","9174 Garber Road","St. Louis",63126,"St. Louis "
"Missouri Asthma Prevention & Control Program - DHSS","P.O. Box 570 ","Jefferson City",65102,"Cole "
"Missouri Baptist Medical Center","3011 North Ballas Road","St. Louis",63131,"St. Louis "
"Missouri Baptist Sullivan Hospital","965 Mattox Drive",Sullivan,63080,"Crawford "
"Missouri Baptist Sullivan Hospital - Sappington Bridge","751 Sappington Bridge Road",Sullivan,63080,"Franklin "
"Missouri Bariatric Services","1000 West Nifong Boulevard Building 2 Suite 210",Columbia,65203,"Boone "
"Missouri Bootheel Regional Consortium","903 South Kingshighway Suite A",Sikeston,63801,"New Madrid "
"Missouri Cancer Association","1705 East Broadway Suite 100",Columbia,65201,"Boone "
"Missouri Care Health Plan","800 Market Street 27th Floor","St. Louis",63101,"St. Louis city "
"Missouri Care/WellCare - Cape Girardeau","272 South Mount Auburn Road","Cape Girardeau",63703,"Cape Girardeau "
"Missouri Care/WellCare - Columbia","4205 Philips Farm Road",Columbia,65201,"Boone "
"Missouri Care/WellCare - Mt. Vernon","11043 Lawrence 1170","Mt. Vernon",65712,"Lawrence "
"Missouri Care/WellCare - Springfield","308 Park Central East",Springfield,65807,"Greene "
"Missouri Child Psychiatry Access Project (MO-CPAP)","1000 West Nifong Building 2 Suite 140",Columbia,65203,"Boone "
"Missouri Coalition for Community Behavioral Healthcare","221 Metro Drive","Jefferson City",65109,"Cole "
"Missouri Coalition for Oral Health ","P.O. Box 1432","Jefferson City",65102,"Cole "
"Missouri Credentialing Board","428 East Capital Avenue 2nd Floor","Jefferson City",65101,"Cole "
"Missouri Delta Home Health","1226 Linn Street Suite F",Sikeston,63801,"Scott "
"Missouri Delta Medical Center","1008 North Main ",Sikeston,63801,"Scott "
"Missouri Delta Medical Center - Smith Street Clinic","123 Smith Avenue",Sikeston,63801,"Scott "
"Missouri Delta Women's Care Center","1013 North Main ",Sikeston,63801,"Scott "
"Missouri Delta Wound & Hyperbaric Center","201 Plaza Drive Suite B",Sikeston,63801,"Scott "
"Missouri Dental Association","3340 American Avenue","Jefferson City",65109,"Cole "
"Missouri Dental Hygienists' Association","1210 West 68th Terrace","Kansas City",64113,"Jackson "
"Missouri Dental Specialists","1002 Diamond Ridge Suite 1500","Jefferson City",65109,"Cole "
"Missouri Department of Corrections","2729 Plaza Drive","Jefferson City",65102,"Cole "
"Missouri Department of Elementary & Secondary Education (DESE)","205 Jefferson Street","Jefferson City",65101,"Cole "
"Missouri Department of Health & Senior Services","912 Wildwood Drive","Jefferson City",65109,"Cole "
"Missouri Department of Health & Senior Services - Columbia","900 West Nifong Suite 215",Columbia,65203,"Boone "
"Missouri Department of Health & Senior Services - Office of Dental Health","912 Wildwood","Jefferson City",65109,"Cole "
"Missouri Department of Health & Senior Services - Office of Rural Health","912 Wildwood Drive","Jefferson City",65102,"Cole "
"Missouri Department of Health & Senior Services - Raytown","8800 East 63rd Street Suite 600",Raytown,64133,"Jackson "
"Missouri Department of Health & Senior Services - Regulation & Licensure","3418 Knipp Drive Suite F","Jefferson City",65109,"Cole "
"Missouri Department of Health & Senior Services - Springfield","149 Park Central Square Suite 116",Springfield,65806,"Greene "
"Missouri Department of Health & Senior Services - St. Louis","220 South Jefferson","St. Louis",63131,"St. Louis "
"Missouri Department of Mental Health","1706 East Elm Street","Jefferson City",65102,"Cole "
"Missouri Department of Mental Health - 7th Street","111 North 7th Street","St. Louis",63101,"St. Louis city "
"Missouri Department of Mental Health - Arsenal Street","5400 Arsenal Street","St. Louis",63139,"St. Louis city "
"Missouri Department of Mental Health - Columbia","900 West Nifong Boulevard Suite 200",Columbia,65203,"Boone "
"Missouri Department of Mental Health - Crystal City","3320 North Truman Boulevard","Crystal City",63019,"Jefferson "
"Missouri Department of Mental Health - Developmental Disabilities","821 Admiral Boulevard","Kansas City",64141,"Jackson "
"Missouri Department of Mental Health - Developmental Disabilities in Columbia","900 West Nifong Boulevard",Columbia,65203,"Boone "
"Missouri Department of Mental Health - Developmental Disabilities in St. Louis","2312 Lemay Ferry Road","St. Louis",63125,"St. Louis "
"Missouri Department of Mental Health - Farmington","1010 West Columbia",Farmington,63640,"St. Francois "
"Missouri Department of Mental Health - Hannibal","805 Clinic Road",Hannibal,63401,"Marion "
"Missouri Department of Mental Health - Joplin","3600 East Newman Road",Joplin,64801,"Jasper "
"Missouri Department of Mental Health - Kirksville","1702 East Laharpe Street","Kirksville ",63501,"Adair "
"Missouri Department of Mental Health - Marshall","1547 West Commerce Drive",Marshall,65340,"Saline "
"Missouri Department of Mental Health - Poplar Bluff","2351 Kanell Boulevard","Poplar Bluff",63901,"Butler "
"Missouri Department of Mental Health - Rolla","105 Fairgrounds Road",Rolla,65401,"Phelps "
"Missouri Department of Mental Health - Sikeston","112 Plaza Drive",Sikeston,63801,"Scott "
"Missouri Department of Mental Health - St. Joseph","3505 Frederick","St. Joseph",64108,"Buchanan "
"Missouri Department of Social Services","615 Howerton Court","Jefferson City",65209,"Cole "
"Missouri Department of Social Services - Children's Division","205 Jefferson Street 10th Floor","Jefferson City",65103,"Cole "
"Missouri Developmental Disabilities Council","1706 East Elm Street","Jefferson City",65101,"Cole "
"Missouri Developmental Disabilities Council - St. Louis","111 North 7th Street","St. Louis",63101,"St. Louis "
"Missouri Digestive Health Center ","101 South Fairview Road",Columbia,65203,"Boone "
"Missouri Division of Behavioral Health","5400 Arsenal Street A-419","St. Louis",63139,"St. Louis "
"Missouri Division of Developmental Disabilities","105 Fairgrounds Road",Rolla,65401,"Phelps "
"Missouri Family Health Council","1909 Southridge Drive","Jefferson City",65110,"Cole "
"Missouri Family to Family","215 West Pershing 5th Floor","Kansas City",64108,"Jackson "
"Missouri Foundation for Health","415 South 18th Street Suite 400","St. Louis",63103,"St. Louis "
"Missouri Girls Town Foundation","8548 Jade Road","Kingdom City",65262,"Callaway "
"Missouri Govenor's Office","201 West Capitol Avenue #216","Jefferson City",65101,"Cole "
"Missouri Head Start Association","P.O. Box 817","Jefferson City",65102,"Cole "
"Missouri Head Start State Collaboration Office","1400 Rock Quarry Road",Columbia,65211,"Boone "
"Missouri Highlands - Poplar Bluff Community Dental","1407 North Westwood Boulevard","Poplar Bluff",63901,"Butler "
"Missouri Highlands Health Care - Annapolis","202 South Allen Street",Annapolis,63620,"Iron "
"Missouri Highlands Health Care - Doniphan","109 Leroux Street",Doniphan,63935,"Ripley "
"Missouri Highlands Health Care - Ellington","110 South 2nd Street","Ellington ",63638,"Reynolds "
"Missouri Highlands Health Care - Eminence","17959 Main Street",Eminence,65466,"Shannon "
"Missouri Highlands Health Care - Pilot Knob","315 West Mulberry Street","Pilot Knob",63663,"Iron "
"Missouri Highlands Health Care - Poplar Bluff","225 Physicians Park Drive Suite 303","Poplar Bluff",63901,"Butler "
"Missouri Highlands Health Care - Van Buren","405 Main Street","Van Buren",63965,"Carter "
"Missouri Highlands Health Care - Viburnum","18 Viburnum Center Road",Viburnum,65566,"Iron "
"Missouri Hospice & Palliative Care Association","627 West McCarty Street Suite 202","Jefferson City",65101,"Cole "
"Missouri Hospital Association","4712 Country Club Drive","Jefferson City",65109,"Cole "
"Missouri House of Representatives","201 West Capitol Avenue","Jefferson City",65101,"Cole "
"Missouri Institute of Mental Health","4633 World Parkway Circle","St. Louis",63119,"St. Louis "
"Missouri Kidney Program","2800 Maguire Boulevard Room B110",Columbia,65211,"Boone "
"Missouri KidsFirst","520 Dix Road #C","Jefferson City",65109,"Cole "
"Missouri Network for Opiate Reform and Recovery","4022 South Broadway","St. Louis",63118,"St. Louis "
"Missouri Nurses Association","3340 American Avenue Suite F","Jefferson City",65110,"Cole "
"Missouri OB/GYN Associates","404 North Keene Street",Columbia,65201,"Boone "
"Missouri OB/GYN Associates - Smiley Lane","2325 Smiley Lane",Columbia,65202,"Boone "
"Missouri Orthopaedic Institute","1100 Virginia Avenue",Columbia,65212,"Boone "
"Missouri Ozarks Community Action","100 Hood Drive",Cuba,65453,"Crawford "
"Missouri Ozarks Community Action - Richland","306 South Pine Street",Richland,65556,"Pulaski "
"Missouri Ozarks Community Health","504 NW 10th Avenue",Ava,65608,"Douglas "
"Missouri Ozarks Community Health - Cabool (Dental Only)","904 Zimmerman Avenue",Cabool,65689,"Texas "
"Missouri Ozarks Community Health - Gainesville","87 Elm Street",Gainesville,65655,"Ozark "
"Missouri Ozarks Community Health - Gainesville","201 Elm Street",Gainesville,65655,"Ozark "
"Missouri Ozarks Community Health - Licking Clinic","135 College Avenue",Licking,65542,"Texas "
"Missouri Ozarks Community Health - Mansfield","804 N. Highway 5",Mansfield,65704,"Wright "
"Missouri Ozarks Community Health Center - Ava","504 West Broadway Avenue",Ava,65608,"Douglas "
"Missouri Ozarks Community Health Center - Houston","1340 South Sam Houston Boulevard",Houston,65483,"Texas "
"Missouri Ozarks Community Health Center - Mt. Grove","1406C North Main Street","Mountain Grove",65711,"Wright "
"Missouri Parent Advisory Council","4674 Dewey Avenue","St. Louis",63116,"St. Louis city "
"Missouri Parents Act (MPACT)","7431 Mexico Road","St. Peters",63376,"St. Charles "
"Missouri Pharmacy Association","211 East Capitol Avenue","Jefferson City ",65101,"Cole "
"Missouri Primary Care Association","3325 Emerald Lane","Jefferson City",65109,"Cole "
"Missouri Professional Learning Communities","2086 Simpson Road",Owensville,65066,"Gasconade "
"Missouri Psychiatric Center","3 Hospital Drive",Columbia,65212,"Boone "
"Missouri Psychiatric Center - MU PC 3310","3 Hospital Drive",Columbia,65212,"Boone "
"Missouri Quality Initiative for Nursing Homes","11 Hancock Court","St. Charles",63303,"St. Charles "
"Missouri Recovery Network","221 Metro Drive","Jefferson City",65109,"Cole "
"Missouri Rural Health Association - HealthTran","1136 West Second Street","West Plains",65775,"Howell "
"Missouri School for the Deaf","505 East 5th Street",Fulton,65251,"Callaway "
"Missouri School-Wide Positive Behavior Support","303 Townsend Hall",Columbia,65203,"Boone "
"Missouri Schools for the Severely Disabled","205 Jefferson Street","Jefferson City",65102,"Cole "
"Missouri Schools for the Severely Disabled - Rolla","300 Lanning Lane",Rolla,65401,"Phelps "
"Missouri Senate","201 West Capitol Avenue","Jefferson City ",65101,"Cole "
"Missouri Southern State University","3950 Newman Road",Joplin,64801,"Jasper "
"Missouri State Board of Nursing","3605 Missouri Boulevard","Jefferson City",65101,"Cole "
"Missouri State Long Term Care Ombudsman Program","912 Wildwood","Jefferson City",65109,"Cole "
"Missouri State Public Health Laboratory","101 North Chestnut","Jefferson City ",65101,"Cole "
"Missouri State Senate","201 W Capitol Ave","Jefferson City",65101,"Cole "
"Missouri State University","901 South National Avenue",Springfield,65897,"Greene "
"Missouri State University - Physical Therapy Department","901 South National Avenue",Springfield,65897,"Greene "
"Missouri Telehealth Network","2800 Maguire Boulevard DC345.00",Columbia,65211,"Boone "
"Missouri Valley Community Action Agency","1415 South Odell",Marshall,65340,"Saline "
"Missouri Vocational Rehabilitation","1500 Southridge Drive Suite 200","Jefferson City ",65101,"Cole "
"Mitchell's Downtown Drug Store","115 South Hickory Street",Neosho,64850,"Newton "
"Mitchell's Drug Store","719 South Neosho Boulevard",Neosho,64850,"Newton "
"Mitchell's Uptown Drug Store","1504 North Business Highway 49",Neosho,64850,"Newton "
"Mizzou Data Science & Analytics Masters Program","241 Naka Hall",Columbia,65211,"Boone "
"Mizzou Quick Care - Broadway","3100 West Broadway",Columbia,65203,"Boone "
"Mizzou Quick Care - Conley","25 Conley Drive",Columbia,65201,"Boone "
"Mizzou Specialty Pharmacy - University Hospital","1 Hospital Drive",Columbia,65212,"Boone "
"Mizzou Therapy Services","4040 Range Line Suite 100",Columbia,65202,"Boone "
"MO HealthNet Division - Department of Social Services","615 Howerton Court","Jefferson City",65102,"Cole "
"MO RIDES","111 Steinhagen",Warrenton,63383,"Warren "
MO-CASE,"3550 Amazonas Drive","Jefferson City",65109,"Cole "
"MO-DESE/Missouri State University Project ACCESS","901 South National",Springfield,65897,"Greene "
"Moberly Rural Health Clinic","1501 Union Avenue",Moberly,65270,"Randolph "
"Moberly School District","926 KWIX Road",Moberly,65270,"Randolph "
"Mobile Van Health Services","5701 Delmar Boulevard","St. Louis",63112,"St. Louis city "
"MOCA Head Start & Early Head Start","306 South Pine",Richland,65556,"Pulaski "
"Monett R-I School District","953-999 East Scott Street",Monett,65708,"Barry "
"Monroe County Health Department","310 Market",Paris,65275,"Monroe "
"Montgomery County R-II School District","394 North Highway 19","Montgomery City",63361,"Montgomery "
"Moral Injury Institute","P.O. Box 2602",Springfield,65801,"Greene "
"Morgan County R-I School District - Stover","701 North Oak Street",Stover,65078,"Morgan "
"Morgan County R-II School District - Versailles","913 West Newton",Versailles,65084,"Morgan "
"Mosaic Life Care","5325 Faraon","St. Joseph",64506,"Buchanan "
"Mosaic Life Care - Albany","705 North College Street",Albany,64402,"Gentry "
"Mosaic Life Care - Family Care North Pointe","5210 North Belt Highway","St. Joseph",64506,"Buchanan "
"Mosaic Life Care - Maryville","2016 South Main",Maryville,64468,"Nodaway "
"Mosaic Life Care - Outpatient Behavioral Health","105 Far West Drive Suite 203","St. Joseph",64505,"Buchanan "
"Mosaic Life Care - Pediatrics","902 North Riverside Suite 100","St. Joseph",64507,"Buchanan "
"Mosaic Life Care - Stanberry Rural Health Clinic","202 East Main Street",Stanberry,64489,"Gentry "
"Mother & Child Health Coalition","2340 East Meyer Boulevard Building 1 Suite 216","Kansas City",64132,"Jackson "
"Mound City Clinic","1303 State Street","Mound City",64470,"Holt "
"Mound City Dental","1303 State Street","Mound City",64470,"Holt "
"Mountain Grove Public Schools","207 East Fifth","Mountain Grove",65711,"Webster "
"Mountain View Birch Tree R-III School District","1054 Old Highway 60","Mountain View",65548,"Howell "
"Mt. Pleasant Missionary Baptist Church","2200 Olive Street","Kansas City",64127,"Jackson "
"Mt. Vernon R-V School District","731 South Landrum Street","Mt. Vernon",65712,"Lawrence "
"Myrtle Hilliard Davis Comprehensive Health Center","5471 Dr. Martin Luther King Drive","St. Louis",63112,"St. Louis "
"Namaste Health Care","504 East Broadway",Ashland,65010,"Boone "
"National Alliance on Mental Illness - Missouri","3405 West Truman Boulevard ","Jefferson City",65109,"Cole "
"National Alliance on Mental Illness of St. Louis","1750 South Brentwood Boulevard Suite 511",Brentwood,63141,"St. Louis "
"National Clinical Training Center for Family Planning","2464 Charlotte St","Kansas City",64108,"Jackson "
"National Council on Alcoholism & Drug Abuse","9355 Olive Boulevard","St. Louis",63132,"St. Louis "
"National Kidney Foundation - St. Louis","1001 Craig Road Suite 480","St. Louis",63146,"St. Louis "
"Naylor Medical Clinic","220 E. Broad Street",Naylor,63953,"Ripley "
"Naylor R-II School District","Route 62 Box 512",Naylor,63953,"Ripley "
"Neelyville R-IV School District","289 Broadway Street",Neelyville,63954,"Butler "
"Nell Holcomb R-IV School District","6547 Highway 1770","Cape Girardeau",63701,"Cape Girardeau "
"Neosho School District","418 Fairground Road",Neosho,64850,"Newton "
"Neurologic Associates","3250 Gordonville Road Suite 450","Cape Girardeau",63703,"Cape Girardeau "
"Nevada Medical Clinic LLC","900 South Adams",Nevada,64772,"Vernon "
"Nevada R-5 School District","800 West Hickory Street",Nevada,64772,"Vernon "
"Nevada Regional Medical Center","800 South Ash",Nevada,64772,"Vernon "
"New Bloomfield R-III School District","307 Redwood Drive","New Bloomfield",65063,"Callaway "
"New Franklin R-I School District","412 West Broadway","New Franklin",65274,"Howard "
"New Haven School District","201 Elton Avenue","New Haven",63068,"Franklin "
"New Madrid County Health Department","406 Highway 61","New Madrid",63869,"New Madrid "
"New Madrid County R-I School District","310 Highway 61","New Madrid",63869,"New Madrid "
"New Madrid Medical","421 SEMO Drive","New Madrid",63869,"New Madrid "
"New Madrid Wellness Center","421 SEMO Drive","New Madrid",63869,"New Madrid "
"New Season","2027 Campus Drive","St. Charles",63301,"St. Charles "
"New Season - Colonial Management Group","3935 Sherman Avenue","St. Joseph",64506,"Buchanan "
"New Visions Group Homes Inc.","13700 Jay Drive",Neosho,64850,"Newton "
"Newburg R-II School District","701 Wolf Pride Drive",Newburg,65550,"Phelps "
"Niangua R-V School District","301 Rumsey Street",Niangua,65713,"Webster "
"Niles Prep","1911 East 23rd Street","Kansas City",64127,"Jackson "
"Nixa Public Schools","301 South Main Street",Nixa,65714,"Christian "
"Nodaway-Holt R-VII School District - Elementary","409 Hickory",Maitland,64466,"Holt "
None,"P.O. Box 8095","St. Joseph",64508,"Buchanan "
None,"P.O. Box 113",Alma,64001,"Lafayette "
None,"4100 Rosa Avenue","St. Louis",63116,"St. Louis "
None,"4408 Crystal Rock Court",Columbia,65203,"Boone "
None,"600 Pleasant Lake Drive",Jackson,63755,"Cape Girardeau "
None,"4 Portland Court","St. Louis",63108,"St. Louis "
None,"4342 Myrtle Avenue","Kansas City",64130,"Jackson "
None,"13226 Old Columbia Pike","Silver Spring",20904,"Montgomery "
None,"6418 South Kingshighway","St. Louis",63109,"St. Louis city "
None,"436 Northwest Greenview Drive","Lee's Summit",64064,"Jackson "
None,"5100 Garfield Avenue","Kansas City",64130,"Jackson "
None,"416 North Van Buren Street",Versailles,65084,"Morgan "
None,"10594 Pleasant Hill Road",Potosi,63664,"Washington "
None,"612 Fairways Circle","Creve Coeur",63141,"St. Louis "
None,"24150 Highway W",Waynesville,65583,"Pulaski "
None,"4105 Tyer Road","Grain Valley",64029,"Jackson "
None,"1001 Sprinters Row Drive",Florissant,63034,"St. Louis "
None,"5591 Hennsley Circle","Weldon Springs",63304,"St. Charles "
None,"14638 Crystal Place ",Grandview,64030,"Jackson "
None,"9747 M Highway","Pilot Grove",65276,"Cooper "
None,"1806 South Fairview Road",Columbia,65203,"Boone "
None,"P.O. Box 1409","Jefferson City",65102,"Cole "
None,"1501 Scott Street","Cape Girardeau",63701,"Cape Girardeau "
None,"2010 Northeast Summerfield Lane","Blue Springs",64029,"Jackson "
None,"14116 State Route DD",Savannah,64485,"Andrew "
None,"7001 Northeast 116th Terrace","Kansas City",64156,"Clay "
None,"1125 Madison","Jefferson City",65101,"Cole "
None,"1951 County Road 228",Fulton,65251,"Callaway "
None,"205 South Hale",Carrollton,64633,"Carroll "
None,"9321 North Oak Trafficway ","Kansas City",64155,"Clay "
None,"450 Terrasini Drive","St. Louis",63376,"St. Charles "
None,"P.O. Box 15134","St. Louis ",63110,"St. Louis city "
"Norborne R-VIII School District","405 Pirate Lane",Norborne,64668,"Carroll "
"Normandy Schools Collaborative","3883 Jennings Station Road","Pine Lawn",63121,"St. Louis "
"North Andrew R-VI School District","9120 Highway 48",Rosendale,65583,"Andrew "
"North Callaway R-I School District","2700 Thunderbird Drive","Kingdom City",65262,"Callaway "
"North Central Missouri College","1301 Maine Street",Trenton,64683,"Grundy "
"North Central Missouri Mental Health Center","1601 East 28th Street",Trenton,64683,"Grundy "
"North Central Missouri Psychological Services","1601 E 28th St",Trenton,64683,"Grundy "
"North County R-I School District","405 Hillcrest Street","Bonne Terre",63628,"St. Francois "
"North End Health Center","1515 St. Joseph Avenue","St. Joseph",64505,"Buchanan "
"North Harrison R-III School District","12023 Fir Street","Eagleville ",64424,"Harrison "
"North Kansas City Hospital","2800 Clay Edwards Drive","North Kansas City",64116,"Clay "
"North Kansas City School District","2000 Northeast 46th Street","Kansas City",64116,"Clay "
"North Kirkwood Middle School","11287 Manchester Road",Kirkwood,63122,"St. Louis "
"North Nodaway R-IV School District","201 East 6th Street",Pickering,64476,"Nodaway "
"North Platte R-I School District","212 West 6th Street",Dearborn,64439,"Platte "
"North Side Community School","3033 North Euclid","St. Louis",63113,"St. Louis city "
"Northeast Dental","402 West Jefferson Street",Kirksville,63501,"Adair "
"Northeast Missouri Caring Communities - Edina","106 North 2nd Suite B",Edina,63537,"Knox "
"Northeast Missouri Caring Communities - Lancaster","105 East Jackson Street",Lancaster,63548,"Schuyler "
"Northeast Missouri Community Action Agency","215 North Elson Street",Kirksville,63501,"Adair "
"Northeast Missouri Health Center","402 West Jefferson Avenue",Kirksville,63501,"Adair "
"Northeast Missouri Health Council - Crown Drive","1416 Crown Drive",Kirksville,63501,"Adair "
"Northeast Missouri Health Council - Jefferson Avenue","402 West Jefferson Avenue",Kirksville,63501,"Adair "
"Northeast Missouri Health Council - Macon","209 North Missouri Street",Macon,63552,"Macon "
"Northeast Missouri Health Council - Milan","52334 South Business Highway 5",Milan,64652,"Sullivan "
"Northeast Missouri Health Council (Administration Office)","1416 Crown Drive",Kirksville,63501,"Adair "
"Northeast Nodaway R-V School District","126 South High School Avenue",Ravenwood,64479,"Nodaway "
"Northeast Regional Health Council","402 West Jefferson",Kirksville,63501,"Adair "
"Northeast Regional Medical Center","315 South Osteopathy Avenue",Kirksville,63501,"Adair "
"Northwest Behavioral Health Services","2303 Village Drive","St. Joseph",64506,"Buchanan "
"Northwest Chillicothe Dental","850 Fairway Drive",Chillicothe,64601,"Livingston "
"Northwest Community Services - Optimistic Beginnings","1547 West Commerce",Marshall,65340,"Saline "
"Northwest Dental Services Savannah","803 Highway 71 West",Savannah,64485,"Andrew "
"Northwest Downtown Health Center","503 South 6th Street","St. Joseph",64501,"Buchanan "
"Northwest Family Dental","3608 Faraon Road","St. Joseph",64506,"Buchanan "
"Northwest Health Services - Braymer","109 North County Road A",Braymer,64624,"Caldwell "
"Northwest Health Services - Family Medicine Associates","2303 Village Drive","St. Joseph",64506,"Buchanan "
"Northwest Health Services - Gower Family Medicine","303 US Hwy 169",Gower,64454,"Buchanan "
"Northwest Health Services - Hamilton","101 East Cross Street",Hamilton,64644,"Caldwell "
"Northwest Health Services - Mound City","1303 State Street","Mound City",64470,"Holt "
"Northwest Health Services - North End Health Center","1515 St. Joseph Avenue","St. Joseph",64505,"Buchanan "
"Northwest Health Services - Savannah","803 West Highway 71",Savannah,64485,"Andrew "
"Northwest Health Services - South Side Health Center","5001 Lake Avenue","St. Joseph",64504,"Buchanan "
"Northwest Health Services Inc. (Administration)","2303 Village Drive","St. Joseph",64506,"Buchanan "
"Northwest Health Services Inc. (Corporate Office)","2303 Village Drive","St. Joseph",64506,"Buchanan "
"Northwest Missouri AHEC","5301 Faraon Street Plaza 3 - Lower Level Suite 120B","St. Joseph",64507,"Buchanan "
"Northwest Missouri State University Wellness Services","800 University Drive",Maryville,64468,"Nodaway "
"Northwest Pharmacy Services","103 E. Cross Street",Hamilton,64644,"Caldwell "
"Northwest R-I School District - Cedar Hill","6005 Cedar Hill Road","Cedar Hill",63016,"Jefferson "
"Northwest R-I School District - De Soto","19 Whispering Pines Road","De Soto",63020,"Jefferson "
"Northwest R-I School District - High Ridge","2901 High Ridge Boulevard","High Ridge",63049,"Jefferson "
"Northwest R-I School District - House Springs","4290 Gravois Road","House Springs",63051,"Jefferson "
"Northwest- Gower Family Pharmacy","315 South 169 Highway",Gower,64454,"Buchanan "
"Norwood R-I School District","675 North Hawk Avenue",Norwood,65717,"Wright "
"Nova Health Center","8401 Hickman Mills Drive","Kansas City",64132,"Jackson "
"NP Health Information Station","1550 Wall Street ","St. Louis",63034,"St. Louis "
"NTA EMS Rescue","1000 South 25th Street",Bethany,64424,"Harrison "
"Oak Grove Medical Clinic","302 Southeast Salem","Oak Grove",64075,"Jackson "
"Oak Grove R-VI School District","601 Southeast 12th Street","Oak Grove",64075,"Jackson "
"Oak Ridge R-VI School District","4198 State Highway E","Oak Ridge",63769,"Cape Girardeau "
"OB/GYN Specialty Group","402 West Jefferson Street",Kirksville,63501,"Adair "
"OCHC Hermitage Dental Office","18753 Spring St",Hermitage,65668,"Hickory "
"OCHC Hermitage Medical Office","102 Jackson Street",Hermitage,65668,"Hickory "
"Odessa R-VII School District","701 South 3rd Street",Odessa,64076,"Lafayette "
"Office of Social Economic Data Analysis (OSEDA)","235 Heinkel Building",Columbia,65211,"Boone "
"Office of the Assistant Secretary of Health - Region 7","601 East 12th Street S1801","Kansas City",64106,"Jackson "
"Oke-Thomas Associates","1972 East Chestnut Expressway",Springfield,65802,"Greene "
"One Heart - Many Hands","P.O. Box 48 ",Caruthersville,63830,"Dunklin "
"Open Health LLC","1113 Mmmoippi Avenue #107","St. Louis",63104,"St. Louis city "
Optum,"13655 Riverport Drive","Maryland Heights",63043,"St. Louis "
"Oran R-III School District","310 Church Street",Oran,63771,"Scott "
"Orchard Farm R-V School District","3489 Boschertown Road","St. Charles",63301,"St. Charles "
"Oregon County SB40 TCM","202 South Main ",Alton,63606,"Oregon "
"Oregon County Targeted Case Management","202 South Main",Alton,65606,"Oregon "
"Orthopedic & Sports Medicine Center","3107 Frederick Avenue Suite B","St. Joseph",64506,"Buchanan "
"OS Clinic","3301 Berrywood Drive",Columbia,65201,"Boone "
"Osage County R-II School District","141 Wildcat Drive",Linn,65051,"Osage "
"Osage County R-III School District","143 East Main Street",Westphalia,65085,"Osage "
"Osage County Special Services","1014 East Main Street",Linn,65051,"Osage "
"Otto Bean Medical","500 Russell",Kennett,63857,"Dunklin "
"Our Lady of Lourdes School","950 Madison Avenue",Washington,63090,"Franklin "
"Our Lady of Mercy Country Home","2115 Maturanna Drive",Liberty,64068,"Clay "
"Our Lady's Inn","4223 South Compton","St. Louis",63111,"St. Louis city "
"Ozark Action Inc. - Head Start","710 East Main Street","West Plains",65775,"Howell "
"Ozark Center","1105 East 32nd Street",Joplin,64804,"Newton "
"Ozark Center - Adult Psychiatric Practices","3901 East 32nd Street",Joplin,64803,"Jasper "
"Ozark Center - New Directions Substance Abuse Service","305 South Virginia Avenue",Joplin,64801,"Jasper "
"Ozark County Health Department","370 3rd Street",Gainesville,65655,"Ozark "
"Ozark Empire","10770 East State Highway 76","Branson West",65737,"Stone "
"Ozark School District","2449 East Hartley Street",Ozark,65721,"Christian "
"Ozarks Area Community Action Corporation","215 South Barnes",Springfield,65802,"Greene "
