name,streetaddress,city,state,zipcode,county,country,phone
"Missouri Ozarks Community Health Center - Mt. Grove","1406C North Main Street","Mountain Grove",MO,65711,"Wright ",US,"(417) 926-1713"
"Missouri Parent Advisory Council","4674 Dewey Avenue","St. Louis",MO,63116,"St. Louis city ",US,"(314) 216-1204"
"Missouri Parents Act (MPACT)","7431 Mexico Road","St. Peters",MO,63376,"St. Charles ",US,"(314) 813-8733"
"Missouri Pharmacy Association","211 East Capitol Avenue","Jefferson City ",MO,65101,"Cole ",US,"(314) 324-6886"
"Missouri Primary Care Association","3325 Emerald Lane","Jefferson City","MO ",65109,"Cole ",US,"(573) 636-4222 "
"Missouri Professional Learning Communities","2086 Simpson Road",Owensville,MO,65066,"Gasconade ",US,"(314) 852-6031"
"Missouri Psychiatric Center","3 Hospital Drive",Columbia,MO,65212,"Boone ",US,"(573) 884-1300"
"Missouri Psychiatric Center - MU PC 3310","3 Hospital Drive",Columbia,MO,65212,"Boone ",US,"(573) 884-1300"
"Missouri Quality Initiative for Nursing Homes","11 Hancock Court","St. Charles",MO,63303,"St. Charles ",US,"(314) 475-8012"
"Missouri Recovery Network","221 Metro Drive","Jefferson City",MO,65109,"Cole ",US,"(573) 634-1029"
"Missouri Rural Health Association - HealthTran","1136 West Second Street","West Plains",MO,65775,"Howell ",US,"(417) 372-7912"
"Missouri School for the Deaf","505 East 5th Street",Fulton,MO,65251,"Callaway ",US,"(573) 592-1545"
"Missouri School-Wide Positive Behavior Support","303 Townsend Hall",Columbia,MO,65203,"Boone ",US,"(573) 808-5338"
"Missouri Schools for the Severely Disabled","205 Jefferson Street","Jefferson City",MO,65102,"Cole ",US,"(573) 522-6186"
"Missouri Schools for the Severely Disabled - Rolla","300 Lanning Lane",Rolla,MO,65401,"Phelps ",US,"(573) 368-2393"
"Missouri Senate","201 West Capitol Avenue","Jefferson City ",MO,65101,"Cole ",US,"(573) 751-3931"
"Missouri Southern State University","3950 Newman Road",Joplin,MO,64801,"Jasper ",US,"(866) 818-6778"
"Missouri State Board of Nursing","3605 Missouri Boulevard","Jefferson City",MO,65101,"Cole ",US,"(573) 751-0078"
"Missouri State Long Term Care Ombudsman Program","912 Wildwood","Jefferson City",MO,65109,"Cole ",US,"(573) 526-0727"
"Missouri State Public Health Laboratory","101 North Chestnut","Jefferson City ",MO,65101,"Cole ",US,"(573) 751-3334"
"Missouri State Senate","201 W Capitol Ave","Jefferson City",MO,65101,"Cole ",US,
"Missouri State University","901 South National Avenue",Springfield,MO,65897,"Greene ",US,"(417) 836-5000"
"Missouri State University - Physical Therapy Department","901 South National Avenue",Springfield,MO,65897,"Greene ",US,"(417) 836-6179"
"Missouri Telehealth Network","2800 Maguire Boulevard DC345.00",Columbia,MO,65211,"Boone ",US,"(573) 884-7958"
"Missouri Valley Community Action Agency","1415 South Odell",Marshall,MO,65340,"Saline ",US,"(660) 886-7476"
"Missouri Vocational Rehabilitation","1500 Southridge Drive Suite 200","Jefferson City ",MO,65101,"Cole ",US,"(573) 522-8083"
"Mitchell's Downtown Drug Store","115 South Hickory Street",Neosho,MO,64850,"Newton ",US,"(417) 437-8292"
"Mitchell's Drug Store","719 South Neosho Boulevard",Neosho,MO,64850,"Newton ",US,"(417) 389-1899"
"Mitchell's Uptown Drug Store","1504 North Business Highway 49",Neosho,MO,64850,"Newton ",US,"(417) 569-9901"
"Mizzou Data Science & Analytics Masters Program","241 Naka Hall",Columbia,MO,65211,"Boone ",US,"(573) 529-2899"
"Mizzou Quick Care - Broadway","3100 West Broadway",Columbia,MO,65203,"Boone ",US,"(573) 884-0036"
"Mizzou Quick Care - Conley","25 Conley Drive",Columbia,MO,65201,"Boone ",US,"(573) 884-0169"
"Mizzou Specialty Pharmacy - University Hospital","1 Hospital Drive",Columbia,MO,65212,"Boone ",US,"(573) 882-8600"
"Mizzou Therapy Services","4040 Range Line Suite 100",Columbia,MO,65202,"Boone ",US,"(573) 864-8395"
"MO HealthNet Division - Department of Social Services","615 Howerton Court","Jefferson City",MO,65102,"Cole ",US,"(573) 751-6961"
"MO RIDES","111 Steinhagen",Warrenton,MO,63383,"Warren ",US,"(636) 456-3473"
MO-CASE,"3550 Amazonas Drive","Jefferson City",MO,65109,"Cole ",US,"(573) 644-7804"
"MO-DESE/Missouri State University Project ACCESS","901 South National",Springfield,MO,65897,"Greene ",US,"(417) 836-5751"
"Moberly Rural Health Clinic","1501 Union Avenue",Moberly,MO,65270,"Randolph ",US,"(660) 263-9095"
"Moberly School District","926 KWIX Road",Moberly,MO,65270,"Randolph ",US,"(660) 269-2666"
"Mobile Van Health Services","5701 Delmar Boulevard","St. Louis",MO,63112,"St. Louis city ",US,3143677848
"MOCA Head Start & Early Head Start","306 South Pine",Richland,MO,65556,"Pulaski ",US,"(573) 765-3263"
"Mon Health Medical Center","1200 J.D. Anderson Drive",Morgantown,WV,26505,"Monongalia County",US,"(304) 598-1200"
"Monett R-I School District","953-999 East Scott Street",Monett,MO,65708,"Barry ",US,"(417) 235-7422"
"Monroe Carell Jr. Children's Hospital at Vanderbilt","2200 Children's Way",Nashville,TN,37232,"Davidson County",US,"(615) 936-1000"
"Monroe County Health Department","310 Market",Paris,MO,65275,"Monroe ",US,"(660) 327-4653"
"Monroe-Gregg School District",NA,Monrovia,IN,46157,,US,
"Monrovia Unified School District",NA,Monrovia,CA,91016,,US,
"Montana Department of Public Health & Human Services","P.O. Box 4369",Helena,MT,59604,"Lewis & Clark County",US,"(406) 444-0984"
"Montana State University - Billings","1500 University Drive",Billings,MT,59101,"Yellowstone County",US,"(406) 702-4383"
"Montgomery County R-II School District","394 North Highway 19","Montgomery City",MO,63361,"Montgomery ",US,"(573) 564-2213"
"Moral Injury Institute","P.O. Box 2602",Springfield,MO,65801,"Greene ",US,"(417) 860-3471"
"Morehouse School of Medicine","720 Westview Dr SW",Atlanta,GA,30310,,US,"(404) 752-8654"
"Morgan County R-I School District - Stover","701 North Oak Street",Stover,MO,65078,"Morgan ",US,"(573) 377-2218"
"Morgan County R-II School District - Versailles","913 West Newton",Versailles,MO,65084,"Morgan ",US,"(573) 378-4697"
"Morrow County Health Department","619 W Marion St Suite B Room 143","Mt Gilead",OH,43338,,US,
"Mosaic Life Care","5325 Faraon","St. Joseph",MO,64506,"Buchanan ",US,"(816) 271-7199"
"Mosaic Life Care - Albany","705 North College Street",Albany,MO,64402,"Gentry ",US,"(660) 726-3333"
"Mosaic Life Care - Family Care North Pointe","5210 North Belt Highway","St. Joseph",MO,64506,"Buchanan ",US,"(816) 271-1330"
"Mosaic Life Care - Maryville","2016 South Main",Maryville,MO,64468,"Nodaway ",US,"(660) 541-5021"
"Mosaic Life Care - Outpatient Behavioral Health","105 Far West Drive Suite 203","St. Joseph",MO,64505,"Buchanan ",US,"(816) 271-4082"
"Mosaic Life Care - Pediatrics","902 North Riverside Suite 100","St. Joseph",MO,64507,"Buchanan ",US,"(816) 271-4990"
"Mosaic Life Care - Stanberry Rural Health Clinic","202 East Main Street",Stanberry,MO,64489,"Gentry ",US,"(660) 783-2192"
"Mother & Child Health Coalition","2340 East Meyer Boulevard Building 1 Suite 216","Kansas City",MO,64132,"Jackson ",US,"(816) 283-6242"
"Mound City Clinic","1303 State Street","Mound City",MO,64470,"Holt ",US,6604425464
"Mound City Dental","1303 State Street","Mound City",MO,64470,"Holt ",US,6604425507
"Mount Healthy Family Practice","8146 Hamilton Avenue",Cincinnati,OH,45231,"Hamilton County",US,"(513) 588-3623"
"Mount Sinai/Beth Israel OTP","429-435 Second Ave ","New York",NY,10037,,US,
"Mountain Grove Public Schools","207 East Fifth","Mountain Grove",MO,65711,"Webster ",US,"(417) 926-4564"
"Mountain States Regional Genetics Network","9111 Jollyvillle Road Suite 280",Austin,TX,78759,"Travis County",US,"(281) 831-3481"
"Mountain View Birch Tree R-III School District","1054 Old Highway 60","Mountain View",MO,65548,"Howell ",US,"(417) 934-5412"
"Mountain View Pediatrics","77 West Forest Avenue",Flagstaff,AZ,86001,"Coconino County",US,"(928) 699-7570"
MPRO,"22670 Haggerty Road Suite 100","Farmington Hills",MI,48335,"Oakland County",US,"(248) 465-7300"
"Mt. Pleasant Missionary Baptist Church","2200 Olive Street","Kansas City",MO,64127,"Jackson ",US,
"Mt. Vernon R-V School District","731 South Landrum Street","Mt. Vernon",MO,65712,"Lawrence ",US,"(417) 466-3137"
"Multicare Associates - Roseville Medical Center","1835 West County Road C",Roseville,MN,55113,"Ramsey County",US,"(763) 785-4500"
"MultiCare East Pierce Family Medicine","1322 3rd St SE Ste 240",Puyallup,WA,98372,Pierce,US,253-697-1420
"Muthaiga Pediatrics","Doctor's Plaza S2 Gertrude's Children's Hopsital",Muthaiga,Nairobi,,"No county",KE,0733-668517
"Muthaiga Pediatrics","Doctor's Plaza S2 Gertrude's Children's Hospital",Muthaiga,Nairobi,,"No county",KE,2.55E+11
"Myrtle Hilliard Davis Comprehensive Health Center","5471 Dr. Martin Luther King Drive","St. Louis",MO,63112,"St. Louis ",US,"(314) 616-5572"
NA,"8975 US-31 ","Berrien Springs",MI,49104,,US,"(269) 471-3364"
NA,NA,,,,,,
"Naidu Clinic","605 East 4th Street",Odessa,TX,79761,"Ector County",US,"(432) 337-4347"
"Namaste Health Care","504 East Broadway",Ashland,MO,65010,"Boone ",US,"(573) 657-7330"
NASTAD,"444 North Capitol St NW Suite 339",Washington,DC,20001,,US,
"National Alliance of State & Territorial AIDS Directors","444 North Capitol Street Northeast",Washington,DC,20001,"District of Columbia",US,"(202) 897-0117"
"National Alliance on Mental Illness - Missouri","3405 West Truman Boulevard ","Jefferson City",MO,65109,"Cole ",US,"(573) 644-3714"
"National Alliance on Mental Illness of St. Louis","1750 South Brentwood Boulevard Suite 511",Brentwood,MO,63141,"St. Louis ",US,"(314) 775-1600"
"National Clinical Training Center for Family Planning","2464 Charlotte St","Kansas City",MO,64108,"Jackson ",US,8669128237
"National Council on Alcoholism & Drug Abuse","9355 Olive Boulevard","St. Louis",MO,63132,"St. Louis ",US,"(314) 669-4636"
"National Development and Research Institutes Inc. ",NA,,,,,US,"(212) 845-4406 "
"National Development and Research Institutes Inc. ","71 West 23rd Street 4th Floor","New York",NY,10010,,US,"(212) 845-4539"
"National Institute of Mental Health and Neurosciences","Hosur Road",Bangalore,,560029,"No County",IN,"(984) 531-3617"
"National Kidney Foundation","30 East 33rd Street","New York",NY,10016,"New York County",US,"(212) 889-2210 ext. 196"
"National Kidney Foundation - KS OK Western MO","6405 Metcalf Avenue Suite 204","Overland Park",KS,66202,"Johnson County",US,"(816) 686-6773"
"National Kidney Foundation - St. Louis","1001 Craig Road Suite 480","St. Louis",MO,63146,"St. Louis ",US,"(314) 852-9412"
"Nationwide Children's Hospital - Autism Treatment Network","187 West Schrock Road",Westerville,OH,43081,"Franklin County",US,"(614) 355-7516"
"Nationwide Children's Hospital - Child Development Center","700 Children's Drive",Columbus,OH,43205,"Franklin County",US,"(614) 722-2000"
"Nationwide Children's Hospital - Child Development Center","187 West Schrock Road",Westerville,OH,43215,"Franklin County",US,"(614) 355-7500"
"Nationwide Children's Hospital - Child Development Center",NA,Columbus,OH,43026,Franklin,US,
"Native American Connections Pregnant and Postpartum Women","337 E Virginia Ave",Phoenix,AZ,85004,Maricopa,US,"(602) 309-4588 "
"Native American Connections Pregnant and Postpartum Women","1124 N. 3rd St #103",Phoenix,AZ,85004,,US,"(602) 496-0700"
"Naylor Medical Clinic","220 E. Broad Street",Naylor,MO,63953,"Ripley ",US,5733992311
"Naylor R-II School District","Route 62 Box 512",Naylor,MO,63953,"Ripley ",US,"(573) 399-2507"
"NBC Community Development Corp","745 Walker","Kansas City",KS,66101,"Wyandotte County",US,"(816) 872-5769"
"Nebraska Department of Health and Human Services","301 Centennial Mall South",Lincoln,NE,68509,"Lancaster County",US,"(402) 471-6770"
"Neelyville R-IV School District","289 Broadway Street",Neelyville,MO,63954,"Butler ",US,"(573) 989-3813"
"Nell Holcomb R-IV School District","6547 Highway 1770","Cape Girardeau",MO,63701,"Cape Girardeau ",US,"(573) 382-1320"
"Neosho School District","418 Fairground Road",Neosho,MO,64850,"Newton ",US,"(417) 451-8600"
"Neuren Pharmaceuticals Limited","Unit 4 435 Willimstown Road","Port Melbourne",VIC,3207,"No County",AU,
"Neurodevelopmental and Behavioral Phenotyping Service IRP NIMH ","10 Center Drive Room 1C250",Bethesda,MD,20850,"Montgomery County",US,"(301) 435-7962"
"Neurologic Associates","3250 Gordonville Road Suite 450","Cape Girardeau",MO,63703,"Cape Girardeau ",US,"(573) 651-3188"
"Neurological Associates","7607 Forest Avenue Suite 300",Richmond,VA,23229,"Henrico County",US,"(804) 288-2742"
"Nevada Division of Public and Behavioral Health","4150 Technology Way","Carson City",NV,89706,,US,
"Nevada Divison of Public and Behavioral Health","4150 Technology Way Suite 210","Carson City",NV,89706,"Carson City County",US,"(775) 684-3476"
"Nevada Early Intervention Services","1161 South Valley View","Las Vegas",NV,89102,"Clark County",US,"(702) 486-7670"
"Nevada Health Centers","98 E Lake Mead Pkwy #103",Henderson,NV,89015,,US,
"Nevada Medical Clinic LLC","900 South Adams",Nevada,MO,64772,"Vernon ",US,"(417) 667-6015"
"Nevada R-5 School District","800 West Hickory Street",Nevada,MO,64772,"Vernon ",US,"(417) 448-2000"
"Nevada Regional Medical Center","800 South Ash",Nevada,MO,64772,"Vernon ",US,"(417) 667-3355"
"New Bloomfield R-III School District","307 Redwood Drive","New Bloomfield",MO,65063,"Callaway ",US,"(573) 491-3700"
"New Franklin R-I School District","412 West Broadway","New Franklin",MO,65274,"Howard ",US,"(660) 848-2231"
"New Hampshire Department of Health and Human Services","29 Hazen Dr",Concord,NH,3301,,US,
"New Haven School District","201 Elton Avenue","New Haven",MO,63068,"Franklin ",US,"(573) 237-2141"
"New Hope Foundation","80 Conover Road",Marlboro,NJ,7746,,US,
"New Horizon Treatment Services","132 Perry Street",Trenton,NJ,8618,,US,
"New Jersey Department of Mental Health and Addiction Services","222 South Warren Street",Trenton,NJ,8625,,US,
"New Madrid County Health Department","406 Highway 61","New Madrid",MO,63869,"New Madrid ",US,"(573) 748-5541"
"New Madrid County R-I School District","310 Highway 61","New Madrid",MO,63869,"New Madrid ",US,"(573) 748-5568"
"New Madrid Medical","421 SEMO Drive","New Madrid",MO,63869,"New Madrid ",US,5737482592
"New Madrid Wellness Center","421 SEMO Drive","New Madrid",MO,63869,"New Madrid ",US,5737487694
"New Mexico Department of Health","2040 South Pacheco","Santa Fe",NM,87505,"Santa Fe",US,"(505) 476-8858"
"New Mexico School for the Deaf","1060 Cerrillos Road","Santa Fe",NM,87505,"Santa Fe County",US,"(505) 629-7792"
"New Season","2027 Campus Drive","St. Charles",MO,63301,"St. Charles ",US,"(636) 321-7600"
"New Season - Colonial Management Group","3935 Sherman Avenue","St. Joseph",MO,64506,"Buchanan ",US,"(816) 233-7300"
"New Visions Group Homes Inc.","13700 Jay Drive",Neosho,MO,64850,"Newton ",US,"(515) 408-5259"
"New York City Department of Mental Health and Hygiene","42-09 28th Street Gotham Center","Long Island City",NY,11101,,US,
"New York University Langone Child Study Center","1 Park Avenue","New York",NY,10016,"New York County",US,"(646) 754-5000"
"Newburg R-II School District","701 Wolf Pride Drive",Newburg,MO,65550,"Phelps ",US,"(573) 762-9653"
"Niangua R-V School District","301 Rumsey Street",Niangua,MO,65713,"Webster ",US,"(417) 473-6101"
"NIH Clinical Center","9000 Rockville Pike",Bethesda,MD,20892,"Montgomery County",US,"(301) 496-6807"
"Niles Prep","1911 East 23rd Street","Kansas City",MO,64127,"Jackson ",US,"(816) 266-3671"
"Nixa Public Schools","301 South Main Street",Nixa,MO,65714,"Christian ",US,"(417) 724-4062"
"NJ Division of Mental Health and Addiction Services","222 South Warren Street",Trenton,NJ,8625,,US,
"Nodaway-Holt R-VII School District - Elementary","409 Hickory",Maitland,MO,64466,"Holt ",US,"(660) 935-2514"
None,"217 Ashley Avenue","West Springfield",MA,1089,"Hampden County",US,"(413) 330-0745"
None,"704 Questover Drive",Carthage,IL,62321,"Hancock County",US,"(217) 440-4175"
None,"2201 Arno","Mission Hills",KS,66208,"Johnson County",US,"(913) 381-5225"
None,"48/1 4th Cross Rainbow Drive Sarjapur Road",Bangalore,India,560035,"No County",US,9.20E+11
None,"11951 Cadillac Drive",Independence,KY,41051,"Kenton County",US,"(859) 803-3320"
None,"7346 McCoy Street",Shawnee,KS,66227,"Johnson County",US,"(913) 708-2941"
None,"704 2nd Street",Golden,CO,80403,"Jefferson County",US,"(303) 278-7035"
None,"12 Mountain Wood Drive",Greenwich,CT,6830,"Fairfield County",US,"(914) 439-3145"
None,"10855 Southeast 112th Avenue",Miami,FL,33176,"Dade County",US,"(305) 417-5660"
None,"538 Kingsley Trail",Bloomfield,MI,48304,"Oakland County",US,"(248) 635-2527"
None,"1320 South Crawford","Mount Pleasant",MI,48858,"Isabella County",US,"(989) 750-1411"
None,"2998 East Harrison Street",Gilbert,AZ,85295,"Maricopa County",US,"(573) 268-0696"
None,"110 North Michigan #117",Lawrence,KS,66044,"Douglas County",US,"(785) 592-1376"
None,"3464 Southeast Fairway Oaks Trail",Stuart,FL,34997,"Martin County",US,"(772) 237-9625"
None,"P.O. Box 8095","St. Joseph",MO,64508,"Buchanan ",US,"(816) 232-5437"
None,"P.O. Box 113",Alma,MO,64001,"Lafayette ",US,"(660) 631-1456"
None,"4100 Rosa Avenue","St. Louis",MO,63116,"St. Louis ",US,"(757) 968-2324"
None,NA,,,,,,
None,"4408 Crystal Rock Court",Columbia,MO,65203,"Boone ",US,
None,"600 Pleasant Lake Drive",Jackson,MO,63755,"Cape Girardeau ",US,"(573) 450-4413"
None,"4 Portland Court","St. Louis",MO,63108,"St. Louis ",US,"(314) 853-6074"
None,"4342 Myrtle Avenue","Kansas City",MO,64130,"Jackson ",US,"(816) 462-9650"
None,"13226 Old Columbia Pike","Silver Spring",MO,20904,"Montgomery ",US,"(301) 879-8216"
None,"6418 South Kingshighway","St. Louis",MO,63109,"St. Louis city ",US,"(314) 420-1361"
None,"436 Northwest Greenview Drive","Lee's Summit",MO,64064,"Jackson ",US,"(816) 305-0808"
None,"5100 Garfield Avenue","Kansas City",MO,64130,"Jackson ",US,"(316) 715-1495"
None,"416 North Van Buren Street",Versailles,MO,65084,"Morgan ",US,"(573) 378-3382"
None,"10594 Pleasant Hill Road",Potosi,MO,63664,"Washington ",US,"(573) 210-6819"
None,"612 Fairways Circle","Creve Coeur",MO,63141,"St. Louis ",US,"(314) 484-6121"
None,"24150 Highway W",Waynesville,MO,65583,"Pulaski ",US,"(970) 596-7582"
None,"4105 Tyer Road","Grain Valley",MO,64029,"Jackson ",US,"(573) 303-2282"
None,"1001 Sprinters Row Drive",Florissant,MO,63034,"St. Louis ",US,"(314) 580-1114"
None,"5591 Hennsley Circle","Weldon Springs",MO,63304,"St. Charles ",US,"(314) 288-5017"
None,"14638 Crystal Place ",Grandview,MO,64030,"Jackson ",US,"(913) 221-8757"
None,"9747 M Highway","Pilot Grove",MO,65276,"Cooper ",US,"(660) 281-1361"
None,"1806 South Fairview Road",Columbia,MO,65203,"Boone ",US,"(573) 397-1324"
None,"P.O. Box 1409","Jefferson City",MO,65102,"Cole ",US,"(816) 617-2468"
None,"1501 Scott Street","Cape Girardeau",MO,63701,"Cape Girardeau ",US,"(573) 837-8773"
None,"2010 Northeast Summerfield Lane","Blue Springs",MO,64029,"Jackson ",US,"(816) 284-6332"
None,"14116 State Route DD",Savannah,MO,64485,"Andrew ",US,"(816) 261-6645"
None,"7001 Northeast 116th Terrace","Kansas City",MO,64156,"Clay ",US,"(816) 382-9193"
None,"1125 Madison","Jefferson City",MO,65101,"Cole ",US,"(573) 659-4428"
None,"1951 County Road 228",Fulton,MO,65251,"Callaway ",US,"(573) 642-5292"
None,"205 South Hale",Carrollton,MO,64633,"Carroll ",US,"(660) 322-2174"
None,"9321 North Oak Trafficway ","Kansas City",MO,64155,"Clay ",US,"(816) 587-3921"
None,"450 Terrasini Drive","St. Louis",MO,63376,"St. Charles ",US,"(513) 304-0266"
None,"P.O. Box 15134","St. Louis ",MO,63110,"St. Louis city ",US,"(314) 359-7880"
"Norborne R-VIII School District","405 Pirate Lane",Norborne,MO,64668,"Carroll ",US,"(660) 593-3319"
"Normandy Schools Collaborative","3883 Jennings Station Road","Pine Lawn",MO,63121,"St. Louis ",US,"(314) 493-0853"
"Norridge School District 80","3741 North Oriole",Norridge,IL,60706,"Cool County",US,"(708) 571-0774"
"North Andrew R-VI School District","9120 Highway 48",Rosendale,MO,65583,"Andrew ",US,"(816) 567-2965"
"North Callaway R-I School District","2700 Thunderbird Drive","Kingdom City",MO,65262,"Callaway ",US,"(573) 386-2211"
"North Central Bronx Hospital Pediatrics","3424 Kossuth Avenue",Bronx,NY,10467,"Bronx County",US,"(347) 461-3421"
"North Central Missouri College","1301 Maine Street",Trenton,MO,64683,"Grundy ",US,
"North Central Missouri Mental Health Center","1601 East 28th Street",Trenton,MO,64683,"Grundy ",US,"(660) 359-4487"
"North Central Missouri Psychological Services","1601 E 28th St",Trenton,MO,64683,"Grundy ",US,660-373-0904
"North Country Freedom Homes Inc.",NA,,,,,US,
"North Country Health Consortium","262 Cottage Street Suite 230","Littleton ",NH,3561,"Grafton County",US,"(603) 259-4809"
"North County R-I School District","405 Hillcrest Street","Bonne Terre",MO,63628,"St. Francois ",US,"(573) 431-3300"
"North Dakota Department of Health","600 East Boulevard Avenue Department 301",Bismarck,ND,58505,"Burleigh County",US,"(701) 328-4534"
"North Dakota EHDI","505 University Avenue West",Minot,ND,58707,"Ward County",US,"(701) 858-3006"
"North End Health Center","1515 St. Joseph Avenue","St. Joseph",MO,64505,"Buchanan ",US,8162333338
"North Harrison R-III School District","12023 Fir Street","Eagleville ",MO,64424,"Harrison ",US,"(660) 867-5214"
"North Kansas City Hospital","2800 Clay Edwards Drive","North Kansas City",MO,64116,"Clay ",US,"(816) 691-1692"
"North Kansas City School District","2000 Northeast 46th Street","Kansas City",MO,64116,"Clay ",US,"(816) 321-5000"
"North Kirkwood Middle School","11287 Manchester Road",Kirkwood,MO,63122,"St. Louis ",US,"(314) 213-6100"
"North Nodaway R-IV School District","201 East 6th Street",Pickering,MO,64476,"Nodaway ",US,"(816) 244-6947"
"North Platte R-I School District","212 West 6th Street",Dearborn,MO,64439,"Platte ",US,"(816) 450-3511"
"North Side Community School","3033 North Euclid","St. Louis",MO,63113,"St. Louis city ",US,"(314) 385-9502"
"Northeast Dental","402 West Jefferson Street",Kirksville,MO,63501,"Adair ",US,6606652741
"Northeast Missouri Caring Communities - Edina","106 North 2nd Suite B",Edina,MO,63537,"Knox ",US,"(660) 397-3655"
"Northeast Missouri Caring Communities - Lancaster","105 East Jackson Street",Lancaster,MO,63548,"Schuyler ",US,"(660) 457-3535"
"Northeast Missouri Community Action Agency","215 North Elson Street",Kirksville,MO,63501,"Adair ",US,"(660) 233-0467"
"Northeast Missouri Family Health","1506 Crown Drive",Kirksville,MO,63501,"Adair ",US,"(660) 627-4493"
"Northeast Missouri Health Center","402 West Jefferson Avenue",Kirksville,MO,63501,"Adair ",US,"(660) 216-5450"
"Northeast Missouri Health Council - Crown Drive","1416 Crown Drive",Kirksville,MO,63501,"Adair ",US,"(660) 627-4493"
"Northeast Missouri Health Council - Jefferson Avenue","402 West Jefferson Avenue",Kirksville,MO,63501,"Adair ",US,"(989) 992-7116"
"Northeast Missouri Health Council - Macon","209 North Missouri Street",Macon,MO,63552,"Macon ",US,"(660) 395-5045"
"Northeast Missouri Health Council - Milan","52334 South Business Highway 5",Milan,MO,64652,"Sullivan ",US,"(660) 359-1879"
"Northeast Missouri Health Council (Administration Office)","1416 Crown Drive",Kirksville,MO,63501,"Adair ",US,6606275757
"Northeast Nodaway R-V School District","126 South High School Avenue",Ravenwood,MO,64479,"Nodaway ",US,"(660) 937-3125"
"Northeast Regional Health Council","402 West Jefferson",Kirksville,MO,63501,"Adair ",US,"(660) 627-2229"
"Northeast Regional Medical Center","315 South Osteopathy Avenue",Kirksville,MO,63501,"Adair ",US,"(660) 734-0034"
"Northeastern Tribal Health System","7600 South Highway 69A",Miami,OK,74354,"Ottawa County",US,"(918) 332-4413"
"Northern Arizona Regional Behavioral Health Authority","1300 South Yale Street",Flagstaff,AZ,86001,"Coconino County",US,"(928) 607-6118"
"Northern Navajo Medical Center","P.O. Box 160 Highway 491 North",Shiprock,NM,87420,"San Juan County",US,"(505) 368-6001"
"Northwest Area Education Agency","1520 Morningside Avenue","Sioux City",IA,51106,"Woodbury County",US,"(712) 222-6388"
"Northwest Behavioral Health Services","2303 Village Drive","St. Joseph",MO,64506,"Buchanan ",US,8162324417
"Northwest Chillicothe Dental","850 Fairway Drive",Chillicothe,MO,64601,"Livingston ",US,6606463802
"Northwest Community Services - Optimistic Beginnings","1547 West Commerce",Marshall,MO,65340,"Saline ",US,"(660) 631-2187"
"Northwest Dental Services Savannah","803 Highway 71 West",Savannah,MO,64485,"Andrew ",US,8163245644
"Northwest Downtown Health Center","503 South 6th Street","St. Joseph",MO,64501,"Buchanan ",US,8162338536
"Northwest Family Dental","3608 Faraon Road","St. Joseph",MO,64506,"Buchanan ",US,8163646444
"Northwest Health Services - Braymer","109 North County Road A",Braymer,MO,64624,"Caldwell ",US,"(660) 645-2218"
"Northwest Health Services - Family Medicine Associates","2303 Village Drive","St. Joseph",MO,64506,"Buchanan ",US,"(816) 232-6818"
"Northwest Health Services - Gower Family Medicine","303 US Hwy 169",Gower,MO,64454,"Buchanan ",US,"(402) 883-7297"
"Northwest Health Services - Hamilton","101 East Cross Street",Hamilton,MO,64644,"Caldwell ",US,"(816) 583-2151"
"Northwest Health Services - Mound City","1303 State Street","Mound City",MO,64470,"Holt ",US,"(660) 442-5464"
"Northwest Health Services - North End Health Center","1515 St. Joseph Avenue","St. Joseph",MO,64505,"Buchanan ",US,"(816) 233-3338"
"Northwest Health Services - Savannah","803 West Highway 71",Savannah,MO,64485,"Andrew ",US,"(816) 324-3121"
"Northwest Health Services - South Side Health Center","5001 Lake Avenue","St. Joseph",MO,64504,"Buchanan ",US,"(402) 659-3857"
"Northwest Health Services Inc. (Administration)","2303 Village Drive","St. Joseph",MO,64506,"Buchanan ",US,8162718261
"Northwest Health Services Inc. (Corporate Office)","2303 Village Drive","St. Joseph",MO,64506,"Buchanan ",US,8162718261
"Northwest Missouri AHEC","5301 Faraon Street Plaza 3 - Lower Level Suite 120B","St. Joseph",MO,64507,"Buchanan ",US,"(816) 271-7950"
"Northwest Missouri State University Wellness Services","800 University Drive",Maryville,MO,64468,"Nodaway ",US,"(660) 562-1348"
"Northwest Pharmacy Services","103 E. Cross Street",Hamilton,MO,64644,"Caldwell ",US,8165832881
"Northwest Portland Area Indian Health Board","2121 Southwest Broadway Suite 300",Portland,Oregon,97201,"Multnomah County",US,"(360) 770-4444"
"Northwest R-I School District - Cedar Hill","6005 Cedar Hill Road","Cedar Hill",MO,63016,"Jefferson ",US,"(636) 274-0555"
"Northwest R-I School District - De Soto","19 Whispering Pines Road","De Soto",MO,63020,"Jefferson ",US,"(636) 274-5327"
"Northwest R-I School District - High Ridge","2901 High Ridge Boulevard","High Ridge",MO,63049,"Jefferson ",US,"(636) 677-3996"
"Northwest R-I School District - House Springs","4290 Gravois Road","House Springs",MO,63051,"Jefferson ",US,"(636) 677-3473"
"Northwest- Gower Family Pharmacy","315 South 169 Highway",Gower,MO,64454,"Buchanan ",US,8163855995
"Norwalk Health Department","137 East Ave",Norwalk,CT,6851,,US,
"Norwood R-I School District","675 North Hawk Avenue",Norwood,MO,65717,"Wright ",US,"(417) 746-4101"
"Not One More Life Inc.","56 Vantage Pointe","Miramar Beach",FL,32550,"Walton County",US,"(404) 752-1500"
